density,kelvin_temperature
7791.67033844589,474.56679382
7791.27541843444,476.16959229
7790.89327918395,477.00968018
7790.53664764063,478.55667725
7790.12911312883,479.6800293
7789.47968494403,481.12001648
7789.20594096712,482.11296692
7788.76671769618,483.24887695
7788.34027190964,484.19821777
7788.02205907104,485.64127197
7787.43025307805,486.83572998
7787.18846350649,487.93733826
7786.75582910646,489.01412048
7786.33596420142,490.24283447
7785.92250456872,491.64041748
7785.50908886683,492.68890991
7785.12115629251,493.79813232
7784.76505298425,495.04530945
7784.19281343753,496.22798767
7783.76051182411,497.80722656
7783.42996115365,498.90408936
7783.10578957576,500.3078064
7782.63548052119,501.01669922
7782.13980394445,502.24947205
7781.71408349482,503.55216064
7781.21217191521,505.21506348
7780.83737086305,506.12355652
7780.41814394942,507.09059753
7779.96086019777,508.4174408
7779.6814305798,509.54567566
7779.26232819318,510.88898315
7778.8432709594,512.07658997
7778.39252005228,513.07781067
7777.95451541026,514.39497986
7777.48482426576,515.56824341
7777.04057187402,516.73613586
7776.65348277318,518.05370178
7776.23470655391,519.40671387
7775.89210302152,520.12128296
7775.33385701045,521.66795959
7775.01036386955,522.79280701
7774.51565807451,523.89032593
7774.12247948379,525.10761108
7773.72300052145,526.30618896
7773.30454426132,527.40045776
7772.78470106471,528.73929443
7772.41704499966,529.86395874
7771.85295634648,531.27445068
7771.53608934161,532.20307007
7771.12420434911,533.45386353
7770.66167286009,534.59863892
7770.31322563461,535.95987549
7769.8697965605,536.99893799
7769.29974905224,538.0897583
7768.98941818193,539.77387085
7768.61579365418,540.65088501
7768.06491837286,541.6539978
7767.74203419103,543.29852905
7767.26724600007,544.43710938
7766.77985824748,545.41504517
7766.40011362846,546.93118896
7765.9950959716,547.9670166
7765.60910557954,549.10574951
7764.98906688802,550.30484619
7764.65377885256,551.57501831
7764.05919889043,552.7309021
7763.72399115082,553.83109131
7763.36351933489,555.18887939
7762.86397649139,556.45142212
7762.47197110358,557.31015625
7762.12425794976,558.6010498
7761.63119934324,560.10983887
7761.21403945411,561.02164307
7760.79060094645,562.28388062
7760.27243009784,563.6472229
7759.83014622539,564.86768188
7759.45740212857,566.10477295
7759.03415527222,567.12186279
7758.44674645255,568.40192261
7758.09940257566,569.41812744
7757.70155982445,570.79639282
7757.30376666152,572.12097778
7756.76081129443,573.07630005
7756.33155114628,574.1550354
7755.88970759406,575.42914429
7755.47316460636,576.72937622
7755.13239239703,578.01791992
7754.59605427187,579.0053772
7754.13548811846,580.2175354
7753.6560499768,581.61469116
7753.44789721423,582.54291382
7752.842411122,584.09638062
7752.37574351645,585.21384277
7752.08568210371,586.10272827
7751.48671703714,587.60343018
7751.11477404485,588.72824707
7750.65462131139,589.94299927
7750.21343303058,590.91455688
7749.71558101538,592.51862183
7749.28710025948,593.86368408
7748.78306333782,594.95593872
7748.26019159706,596.12671509
7747.76889270605,597.07294312
7747.38470318219,598.2241272
7746.95648012827,599.70105591
7746.5157127515,600.72177734
7746.10017604332,601.91916504
7745.58396496727,603.15424194
7745.06153359604,604.28705444
7744.62727019206,605.66596069
7744.15530342431,606.81348267
7743.84698669753,607.83463135
7743.34994349026,609.05682983
7742.92846068653,610.04044189
7742.39380049404,611.66513672
7741.97870584668,612.6718811
7741.45676068763,614.0295166
7741.11092765935,615.11362305
7740.63309870945,616.41245117
7740.17418963101,617.33762207
7739.57706373995,618.67044678
7739.21883068206,619.94025269
7738.78522221,620.81558838
7738.33910597583,622.41501465
7737.89303243011,623.57990112
7737.39676193931,624.49463501
7736.87542566567,625.81409302
7736.56140432998,627.24869385
7736.03390617709,628.66217651
7735.53787412047,629.53052368
7735.16117833928,630.83301392
7734.73430547266,631.95718994
7734.18822464067,633.50223389
7733.76773859357,634.38095703
7733.36611725408,635.39078369
7732.80140457158,636.84842529
7732.48144515002,637.89554443
7732.02977870787,639.10083618
7731.53425128297,640.23563232
7731.03879609581,641.51633301
7730.76914418996,642.74725952
7730.21735807587,644.02890625
7729.79102195486,645.1512207
7729.39608591811,646.36304321
7729.04506648776,647.73563232
7728.5311259871,648.54318848
7728.02351527328,649.87277832
7727.559839368,651.18375244
7727.12127633086,652.19324341
7726.69529033642,653.39545288
7726.21923931825,654.87113037
7725.71194095438,655.81360474
7725.48023036317,657.19406738
7724.89789084085,658.42890015
