celsius_temperature,specific_heat_capacity
144.43,0.5209
144.56,0.5208
144.68,0.5209
144.81,0.5209
144.94,0.5210
145.07,0.5210
145.20,0.5211
145.33,0.5211
145.46,0.5212
145.59,0.5212
145.71,0.5212
145.84,0.5213
145.97,0.5214
146.10,0.5214
146.23,0.5215
146.35,0.5215
146.48,0.5214
146.61,0.5214
146.75,0.5214
146.87,0.5215
147.00,0.5215
147.13,0.5215
147.26,0.5215
147.39,0.5216
147.52,0.5216
147.65,0.5217
147.78,0.5218
147.91,0.5218
148.04,0.5218
148.17,0.5218
148.30,0.5219
148.43,0.5219
148.56,0.5220
148.69,0.5221
148.82,0.5221
148.95,0.5222
149.07,0.5223
149.21,0.5224
149.34,0.5224
149.47,0.5226
149.60,0.5226
149.73,0.5226
149.86,0.5227
149.99,0.5228
150.12,0.5229
150.25,0.5228
150.38,0.5229
150.51,0.5229
150.64,0.5230
150.77,0.5230
150.91,0.5230
151.04,0.5231
151.16,0.5232
151.29,0.5232
151.42,0.5233
151.55,0.5233
151.69,0.5233
151.82,0.5232
151.95,0.5233
152.08,0.5233
152.21,0.5234
152.34,0.5233
152.47,0.5233
152.60,0.5234
152.73,0.5236
152.86,0.5236
153.00,0.5236
153.13,0.5237
153.25,0.5237
153.38,0.5238
153.51,0.5239
153.64,0.5240
153.77,0.5242
153.90,0.5241
154.03,0.5241
154.15,0.5241
154.29,0.5240
154.42,0.5241
154.54,0.5242
154.67,0.5241
154.80,0.5241
154.92,0.5243
155.05,0.5244
155.18,0.5244
155.31,0.5244
155.44,0.5244
155.58,0.5244
155.70,0.5244
155.83,0.5246
155.96,0.5247
156.09,0.5247
156.22,0.5247
156.35,0.5247
156.48,0.5247
156.61,0.5247
156.74,0.5248
156.87,0.5247
157.00,0.5248
157.13,0.5249
157.26,0.5248
157.39,0.5249
157.52,0.5249
157.66,0.5250
157.78,0.5251
157.91,0.5252
158.03,0.5253
158.16,0.5254
158.30,0.5253
158.43,0.5254
158.56,0.5255
158.68,0.5257
158.82,0.5257
158.95,0.5257
159.08,0.5258
159.21,0.5258
159.34,0.5259
159.46,0.5260
159.60,0.5260
159.73,0.5260
159.86,0.5260
